user_id,email,password,first_name,last_name,address,current_balance,is_seller,created_at,updated_at,additional_data
0,changlei@example.org,pbkdf2:sha256:600000$9aSu0YdWcdYQWbbo$16b12279d2d0b8db8642c971abe78c161582988309b7fcf2a132b455ad3e7fdd,Bradley,李,宁夏回族自治区重庆市翔安拉萨路C座 302654,3833.0,True,2024-12-13 16:33:11.504827,2024-12-26 16:33:11.504827,"{'user_type': 'power_user', 'behavior': {'shopping_frequency': 'frequent', 'favorite_categories': [7, 19], 'price_sensitivity': 'high', 'review_likelihood': 'often'}, 'phone': '(0306) 999 0511', 'birth_date': '1950-11-16', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'light'}}"
1,josette40@example.net,pbkdf2:sha256:600000$QfnN0Sbk6PbC4FBO$f45058e47ada3fed95d01b04db256dc8c424b6111db82260166eb7b6707d022b,Apollonia,Dudley,"Sagerplatz 034, 31647 Eberswalde",1751.86,True,2023-09-29 16:33:11.504827,2023-10-21 16:33:11.504827,"{'user_type': 'power_user', 'behavior': {'shopping_frequency': 'frequent', 'favorite_categories': [17], 'price_sensitivity': 'medium', 'review_likelihood': 'sometimes'}, 'phone': '0361419283', 'birth_date': '1975-10-02', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'light'}}"
2,stephanie83@example.net,pbkdf2:sha256:600000$OZZaTjZACKH32Ono$e6a140376ddc359de9101c4ecb262cdf6dd7e8b688fad838269bcedb87cb770d,Zoé,Perez,"1395 Diana Locks Suite 242, Lake Anna, KS 98413",30.19,True,2023-04-30 16:33:11.504827,2023-05-23 16:33:11.504827,"{'user_type': 'lapsed_user', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [12], 'price_sensitivity': 'high', 'review_likelihood': 'rarely'}, 'phone': '96-5328-7101', 'birth_date': '1986-12-29', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'dark'}}"
3,yanderson@example.com,pbkdf2:sha256:600000$UYNqP7fccufMruaA$d615a00f296462349274941f5aaeaf178620a8aca2575d81e59694c061dbed68,零,渡辺,大分県利島村睦35丁目25番9号,305.11,True,2023-07-09 16:33:11.504827,2023-08-05 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [19, 11, 6], 'price_sensitivity': 'medium', 'review_likelihood': 'always'}, 'phone': '15714627048', 'birth_date': '1978-11-04', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'dark'}}"
4,meagan89@example.org,pbkdf2:sha256:600000$lSHN3AXx7lLvIGYZ$0681f58fa2821cdcbf0f0f9190adc1d7f0645de036f685f74a2de8cdc90b1a92,Karen,Powell,高知県新宿区千束2丁目4番12号,731.64,True,2023-07-01 16:33:11.504827,2023-07-20 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'occasional', 'favorite_categories': [11], 'price_sensitivity': 'medium', 'review_likelihood': 'rarely'}, 'phone': '+33 1 80 39 11 71', 'birth_date': '1996-05-29', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'light'}}"
5,katyjones@example.net,pbkdf2:sha256:600000$xJemavBgU4NuwNdG$f59e1cf2539ef8090073831a0ac5bf9b34adfb0c7ed7652b6497216007a9e17d,Arthur,遠藤,"Kühnertweg 7, 13315 Rottweil",306.14,True,2024-03-07 16:33:11.504827,2024-03-19 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [17, 7, 10], 'price_sensitivity': 'low', 'review_likelihood': 'rarely'}, 'phone': '080-9301-0310', 'birth_date': '1949-02-12', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'system'}}"
6,hidekimori@example.org,pbkdf2:sha256:600000$ziOiNEUXH1XPoQpc$400212055cd71b5b272d7403c5564263980929cea12d2e6c72844e7f97bfb356,淳,苗,鳥取県長生郡長生村上野桜木27丁目7番4号 ハイツ筑土八幡町667,74.5,True,2025-04-05 16:33:12.206203,2025-04-13 16:33:12.206203,"{'user_type': 'new_user', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [15, 12, 14], 'price_sensitivity': 'high', 'review_likelihood': 'often'}, 'phone': '13510651333', 'birth_date': '1974-10-28', 'preferences': {'newsletter': False, 'notifications': True, 'theme': 'system'}}"
7,dakhtar@example.org,pbkdf2:sha256:600000$G5LD9lgU9qk7OvGl$7f3656fbe2ef3ccc421cd253aa07f0147431418d421b52bc73bbfe7ba512f160,Scott,鈴木,山西省成都县蓟州马鞍山街y座 964746,874.99,True,2023-09-29 16:33:11.504827,2023-10-24 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [16], 'price_sensitivity': 'medium', 'review_likelihood': 'rarely'}, 'phone': '18572343098', 'birth_date': '1995-03-13', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'dark'}}"
8,girardisabelle@example.com,pbkdf2:sha256:600000$XBCZMj8Nl1Wstsui$0efe15134519dbddeba3e2cf9506a2884b189f12c38bb0f72de393904dc0bee0,加奈,George,千葉県袖ケ浦市東大和町16丁目13番4号,896.31,True,2025-02-03 16:33:11.504827,2025-02-13 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'rare', 'favorite_categories': [8, 17, 0], 'price_sensitivity': 'medium', 'review_likelihood': 'often'}, 'phone': '080-9909-1699', 'birth_date': '1965-10-28', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'dark'}}"
9,margueriteauger@example.com,pbkdf2:sha256:600000$dOhCi9Dl8XeyS6Nw$69f5c368b07f36af492e82c072bdf27ad8626c7604648262c7accdbfafd67262,Arthur,Eigenwillig,新疆维吾尔自治区斌市静安六盘水街i座 813542,662.77,True,2024-09-19 16:33:11.504827,2024-10-08 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'occasional', 'favorite_categories': [8, 16, 5], 'price_sensitivity': 'medium', 'review_likelihood': 'often'}, 'phone': '090-9808-4124', 'birth_date': '2004-11-02', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'light'}}"
10,josephjacobs@example.net,pbkdf2:sha256:600000$RceNSGbmExWRxjlZ$9af940b42684213272b99a949b814015a9f8d78be444b42747a252aa506ed650,Lucas,曾,"2, avenue de Baron, 06103 Pires",4454.25,True,2024-02-27 16:33:11.504827,2024-03-05 16:33:11.504827,"{'user_type': 'power_user', 'behavior': {'shopping_frequency': 'occasional', 'favorite_categories': [0, 10, 15], 'price_sensitivity': 'high', 'review_likelihood': 'never'}, 'phone': '+4428 9018427', 'birth_date': '1992-04-25', 'preferences': {'newsletter': True, 'notifications': False, 'theme': 'light'}}"
11,dowergconstantin@example.net,pbkdf2:sha256:600000$BhTvVYIkw5tDcMND$848dca4401dc9915c2731eca90e029d11c6d566e48d185c5e756149099b11da9,Janice,Davenport,群馬県荒川区山中新田3丁目10番12号 パレス明石町315,527.75,True,2024-01-15 16:33:11.504827,2024-01-31 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [17], 'price_sensitivity': 'medium', 'review_likelihood': 'often'}, 'phone': '92-3226-0256', 'birth_date': '2003-02-04', 'preferences': {'newsletter': False, 'notifications': True, 'theme': 'light'}}"
12,leiguo@example.net,pbkdf2:sha256:600000$qTVVJ5EQ3KB97v6K$395b3238cb3a6cd500de906a7eba77dae02ddfa7b094171bb4b15b57ca4d4079,Patrick,Garrison,"Flat 43o, Katy fields, Millsland, HS8 8PA",43.81,True,2025-04-04 16:33:12.812709,2025-04-18 16:33:12.812709,"{'user_type': 'new_user', 'behavior': {'shopping_frequency': 'occasional', 'favorite_categories': [6, 9, 12], 'price_sensitivity': 'low', 'review_likelihood': 'rarely'}, 'phone': '329-840-1965x569', 'birth_date': '1957-03-25', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'dark'}}"
13,neveubernadette@example.org,pbkdf2:sha256:600000$ogfBuL3fPSrDRpJ4$d03c099f92454b22e21cbea9d3d82d108cda446b39a4d7f1bdd9cb0baa29b0ab,くみ子,丁,四川省波县花溪林路z座 382366,160.66,True,2024-03-22 16:33:11.504827,2024-03-24 16:33:11.504827,"{'user_type': 'regular', 'behavior': {'shopping_frequency': 'regular', 'favorite_categories': [7, 0, 2], 'price_sensitivity': 'medium', 'review_likelihood': 'always'}, 'phone': '090-6804-4369', 'birth_date': '1988-11-05', 'preferences': {'newsletter': True, 'notifications': True, 'theme': 'dark'}}"
