order_id,buyer_id,total_amount,order_date,num_products,order_status,additional_data
0,0,0.0,2024-05-16 16:34:02.354923,3,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2024, 5, 16, 16, 34, 2, 354923)}, {'status': 'Processing', 'timestamp': datetime.datetime(2024, 5, 16, 16, 34, 2, 354923)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2024, 5, 19, 16, 34, 2, 354923)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2024, 5, 21, 16, 34, 2, 354923)}], 'payment_info': {'method': 'Debit Card', 'transaction_id': '2YUGA174974F', 'amount': 0.0}, 'shipping_address': '北京市桂荣县怀柔西安路S座 158983', 'delivery_notes': None, 'gift': False, 'expedited_shipping': False, 'shipping_cost': 1.1, 'tax': 26.14, 'promo_code': None, 'promo_discount': 0}"
1,0,0.0,2025-01-25 16:34:02.354991,4,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2025, 1, 25, 16, 34, 2, 354991)}, {'status': 'Processing', 'timestamp': datetime.datetime(2025, 1, 26, 16, 34, 2, 354991)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2025, 1, 27, 16, 34, 2, 354991)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2025, 2, 3, 16, 34, 2, 354991)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': 'RB0F3EHEUTAL', 'amount': 0.0}, 'shipping_address': 'Blochring 74\n09232 Mayen', 'delivery_notes': None, 'gift': False, 'expedited_shipping': True, 'shipping_cost': 13.92, 'tax': 39.86, 'promo_code': None, 'promo_discount': 0}"
2,0,0.0,2025-01-24 16:34:02.355032,3,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2025, 1, 24, 16, 34, 2, 355032)}, {'status': 'Processing', 'timestamp': datetime.datetime(2025, 1, 24, 16, 34, 2, 355032)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2025, 1, 29, 16, 34, 2, 355032)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2025, 2, 1, 16, 34, 2, 355032)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': 'LO8UUYPY8JN2', 'amount': 0.0}, 'shipping_address': '288 Derek lodge\nPort Jayland\nE23 4YW', 'delivery_notes': 'Totam necessitatibus molestias doloribus laudantium ex nemo porro.', 'gift': True, 'expedited_shipping': False, 'shipping_cost': 9.66, 'tax': 20.37, 'promo_code': None, 'promo_discount': 0}"
3,1,0.0,2024-12-19 16:34:02.355081,1,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2024, 12, 19, 16, 34, 2, 355081)}, {'status': 'Processing', 'timestamp': datetime.datetime(2024, 12, 21, 16, 34, 2, 355081)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2024, 12, 25, 16, 34, 2, 355081)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2024, 12, 30, 16, 34, 2, 355081)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': 'KPKJXWTU9SLO', 'amount': 0.0}, 'shipping_address': '1076 Adam Views Suite 974\nOlsonfort, MD 72793', 'delivery_notes': '这些那些商品名称.', 'gift': False, 'expedited_shipping': False, 'shipping_cost': 13.17, 'tax': 34.18, 'promo_code': 'KBCTH0CF', 'promo_discount': 0}"
4,3,0.0,2025-01-16 16:34:02.355196,4,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2025, 1, 16, 16, 34, 2, 355196)}, {'status': 'Processing', 'timestamp': datetime.datetime(2025, 1, 16, 16, 34, 2, 355196)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2025, 1, 17, 16, 34, 2, 355196)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2025, 1, 22, 16, 34, 2, 355196)}], 'payment_info': {'method': 'PayPal', 'transaction_id': 'A6CSG6X1B8N8', 'amount': 0.0}, 'shipping_address': 'avenue de Gallet\n15692 Grondin', 'delivery_notes': None, 'gift': False, 'expedited_shipping': False, 'shipping_cost': 0.97, 'tax': 39.9, 'promo_code': None, 'promo_discount': 0}"
5,3,0.0,2025-02-27 16:34:02.355224,3,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2025, 2, 27, 16, 34, 2, 355224)}, {'status': 'Processing', 'timestamp': datetime.datetime(2025, 2, 28, 16, 34, 2, 355224)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2025, 3, 4, 16, 34, 2, 355224)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2025, 3, 5, 16, 34, 2, 355224)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': '0LGZAGB7CU6B', 'amount': 0.0}, 'shipping_address': '广东省成都市安次太原街v座 131160', 'delivery_notes': 'Study just clear.', 'gift': False, 'expedited_shipping': False, 'shipping_cost': 1.15, 'tax': 37.6, 'promo_code': None, 'promo_discount': 28.86}"
6,3,0.0,2024-07-20 16:34:02.355260,3,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2024, 7, 20, 16, 34, 2, 355260)}, {'status': 'Processing', 'timestamp': datetime.datetime(2024, 7, 20, 16, 34, 2, 355260)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2024, 7, 24, 16, 34, 2, 355260)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2024, 7, 26, 16, 34, 2, 355260)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': 'AUX1VKQBFVQH', 'amount': 0.0}, 'shipping_address': '广西壮族自治区昆明县滨城王街a座 767613', 'delivery_notes': None, 'gift': False, 'expedited_shipping': False, 'shipping_cost': 7.22, 'tax': 38.27, 'promo_code': None, 'promo_discount': 0}"
7,3,0.0,2024-12-24 16:34:02.355304,5,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2024, 12, 24, 16, 34, 2, 355304)}, {'status': 'Processing', 'timestamp': datetime.datetime(2024, 12, 24, 16, 34, 2, 355304)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2024, 12, 26, 16, 34, 2, 355304)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2024, 12, 27, 16, 34, 2, 355304)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': '10H4W59MSNMT', 'amount': 0.0}, 'shipping_address': 'Flat 6\nWilliams springs\nNew Shane\nN9 8AZ', 'delivery_notes': 'Control article write support.', 'gift': False, 'expedited_shipping': False, 'shipping_cost': 7.94, 'tax': 14.02, 'promo_code': 'ADHF9I77', 'promo_discount': 0}"
8,3,0.0,2025-03-26 16:34:02.355358,3,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2025, 3, 26, 16, 34, 2, 355358)}, {'status': 'Processing', 'timestamp': datetime.datetime(2025, 3, 26, 16, 34, 2, 355358)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2025, 3, 28, 16, 34, 2, 355358)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2025, 4, 4, 16, 34, 2, 355358)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': '1RMZQCRS5XT9', 'amount': 0.0}, 'shipping_address': '吉林省张家港市闵行兴安盟路N座 482135', 'delivery_notes': None, 'gift': False, 'expedited_shipping': False, 'shipping_cost': 2.72, 'tax': 40.3, 'promo_code': 'WQVORCYC', 'promo_discount': 0}"
9,4,0.0,2025-01-07 16:34:02.355388,3,Fulfilled,"{'status_history': [{'status': 'Order Placed', 'timestamp': datetime.datetime(2025, 1, 7, 16, 34, 2, 355388)}, {'status': 'Processing', 'timestamp': datetime.datetime(2025, 1, 9, 16, 34, 2, 355388)}, {'status': 'Shipped', 'timestamp': datetime.datetime(2025, 1, 10, 16, 34, 2, 355388)}, {'status': 'Delivered', 'timestamp': datetime.datetime(2025, 1, 15, 16, 34, 2, 355388)}], 'payment_info': {'method': 'Credit Card', 'transaction_id': 'N4AX5IQTATNB', 'amount': 0.0}, 'shipping_address': 'Flat 69\nWilliam roads\nEast Georgina\nN9 1FU', 'delivery_notes': 'Envelopper décrire réserver vite fumée.', 'gift': False, 'expedited_shipping': False, 'shipping_cost': 10.09, 'tax': 4.06, 'promo_code': None, 'promo_discount': 0}"
