user_id,email,password,first_name,last_name,address,current_balance,is_seller,created_at,updated_at
0,mendozasean@example.com,pbkdf2:sha256:600000$uDnnHvYGt2QR1tUp$628e0e09de6f2afb9ed28bcb4cc9a1e5cf6d0bfe45511ec1f25173c920e9675e,Raymond,Robinson,"1415 Alexander Springs Suite 360, Lake Daniel, TX 39927",958.3,True,2025-04-17 18:21:14.960870,2025-04-17 18:21:14.960872
1,chloesmith@example.net,pbkdf2:sha256:600000$xcsPx4B88hMwtoi6$25544de43f2853e57e030ee6032ced0bb8ef8ed077090bc121db23ad2a2b4bff,Paige,Alvarez,"USCGC Williams, FPO AA 11169",211.99,True,2025-04-17 18:21:15.056140,2025-04-17 18:21:15.056142
2,drichardson@example.org,pbkdf2:sha256:600000$LqAjqAdxLcSJuyLY$def46ffaf9ac6960bae733cd508a5871dd589f63e866e25b6dcc5ca1f930c9ed,Steve,Crawford,"325 Butler Mountains Suite 162, Darrellside, NY 69212",263.72,True,2025-04-17 18:21:15.151165,2025-04-17 18:21:15.151167
3,ybaldwin@example.com,pbkdf2:sha256:600000$ZH9kkgjLSgEynN20$0772275f39d1f14a4e022b5e26fa585ab3cc48567fcb9c39026e6473958dc0c3,Barbara,Higgins,"21303 Anna Wells, Dustinland, OR 06802",123.37,True,2025-04-17 18:21:15.247128,2025-04-17 18:21:15.247129
4,shawnkirk@example.net,pbkdf2:sha256:600000$u3O28YkrRHczBfmt$8540611b832b680afb4ad98ef30598b994e55fe63c0e97ed899dcd31ca2a578a,Daniel,Wood,"1994 Moreno Squares Suite 239, Smithchester, GA 50191",218.34,True,2025-04-17 18:21:15.344077,2025-04-17 18:21:15.344078
5,bridgetprice@example.com,pbkdf2:sha256:600000$byAaHFZ24KfRRXvZ$3bfd4090be4565715bd6486a9d5c3230c12a43464a5bfa02aa7b8b93176537da,Dennis,Bauer,"619 Nelson Mall, North Brandonfort, MO 12617",278.99,True,2025-04-17 18:21:15.440622,2025-04-17 18:21:15.440626
6,graveskimberly@example.org,pbkdf2:sha256:600000$KLs72QYKyZqlmBm6$56f5ebface0e76a1364e2ddc59ca8ca9216ad0057b54fadad17f0d4fdb03cd92,Leah,Craig,"132 Lee Flats Suite 114, South Chadmouth, MN 76169",847.73,True,2025-04-17 18:21:15.540017,2025-04-17 18:21:15.540018
7,elizabeth28@example.net,pbkdf2:sha256:600000$J7Db7DWsyXLXguBf$45c65fe5547ccd8199ffc8e23c84caf64a5d11f1bcf7ef358b2e6ea524af9ca0,Patrick,Whitehead,"665 Richard Port, Jillianmouth, ND 14207",533.22,True,2025-04-17 18:21:15.640937,2025-04-17 18:21:15.640938
8,sburton@example.com,pbkdf2:sha256:600000$1X4zrEPepSoesOU9$723a10a731ca3c268fa6fc2f0deb4a9207b2b5e84fa4f2fcfc15f877d14f1fe9,Dennis,Bowen,"1696 Bobby Coves Suite 173, West Brittanyborough, DC 48713",326.14,True,2025-04-17 18:21:15.739949,2025-04-17 18:21:15.739950
9,wooddenise@example.org,pbkdf2:sha256:600000$teRZlNi49T18eUdz$d7ff71d0e3e6c66673a7d6b70787c2961e363698a9185ee22e1e429c12a18860,Matthew,Allen,"62809 David Spring, Schwartzborough, MN 54190",840.77,True,2025-04-17 18:21:15.839877,2025-04-17 18:21:15.839878
